 0 1 2 3 4 5
29 -1.4372575 -1.8437598 -2.1203272 -1.3073419 -1.58803 -4.6732674
30 -2.016624 -1.1208841 -2.4258087 -1.979768 -1.1768359 -5.092245
31 -1.8730813 -1.493908 -2.674272 -1.5907387 -1.1451294 -3.4756389
32 -1.9386934 -1.3518617 -2.7212033 -1.5110619 -1.3428433 -3.0002072
33 -1.8028082 -2.0066798 -2.0826025 -1.3368969 -1.1643536 -6.6142797
34 -1.615272 -2.664578 -2.3848355 -0.66446936 -2.106275 -5.7465525
35 -1.5510144 -1.8924154 -2.1950498 -1.2986293 -1.4049939 -4.8753123
36 -1.6518755 -1.5534848 -2.1628366 -1.5244074 -1.3432441 -5.7912445
37 -1.901748 -1.3076025 -2.2925737 -1.4862664 -1.3791344 -6.7199383
38 -3.6359675 -5.9543333 -3.9736075 -0.055072308 -5.1457095 -14.751408
39 -1.717187 -1.8730674 -2.4444406 -1.121671 -1.4044988 -4.7355103
40 -2.1776836 -1.207126 -2.6316926 -1.8211743 -1.0505149 -5.498993
41 -1.0596476 -3.7664747 -2.321839 -0.971547 -1.8853056 -6.257554
42 -1.7805542 -1.8672497 -1.8335752 -1.2897743 -1.4200358 -10.490046
43 -1.9539276 -1.7714342 -2.2747436 -0.9803691 -1.5633688 -7.169708
44 -2.4876304 -1.033642 -2.7770007 -0.98597324 -2.1172476 -5.199233
45 -2.177385 -1.5483083 -1.6486769 -1.7882379 -1.1567857 -13.949768
46 -3.7323382 -0.16642308 -4.116783 -2.59447 -3.2864585 -6.9008265
47 -1.9188818 -1.3470253 -2.66145 -1.7342775 -1.1531763 -3.4670424
48 -1.6588296 -1.8365412 -2.4561718 -0.9125705 -1.8387139 -5.522648
49 -2.2026703 -1.1430906 -2.5050879 -2.4049993 -0.93296957 -5.2320633
50 -1.4828418 -2.0798514 -2.373506 -1.2455833 -1.3978541 -3.91171
51 -1.6614207 -1.3366451 -2.3931875 -1.5821519 -1.4139158 -4.9136295
52 -2.963808 -1.5207778 -3.0356421 -2.3091357 -0.54689956 -5.598386
53 -1.6972125 -1.7504472 -2.4204562 -1.0967236 -1.551523 -4.7866116
54 -0.7552414 -1.2413867 -3.0137796 -1.988412 -2.957431 -5.760695
55 -1.4678873 -2.022234 -2.089145 -1.2957473 -1.439344 -5.929643
56 -1.7555449 -1.6054865 -2.5402596 -1.5270635 -1.261561 -3.0541
57 -2.0661058 -1.2923415 -2.7990663 -1.4436772 -1.3135953 -3.413736
58 -1.6615808 -2.4131818 -2.560478 -0.7052306 -1.9562838 -4.8300557
59 -1.787765 -1.6914952 -2.1669765 -1.5418847 -1.1453451 -6.315766
60 -1.9282665 -1.5984704 -2.3778827 -1.3057071 -1.2474055 -6.5587673
61 -1.956777 -1.4123671 -2.603827 -1.6366181 -1.1139772 -4.003984
62 -1.781496 -1.8246899 -2.337823 -1.1364866 -1.3921508 -5.4435787
63 -1.5967926 -1.7337561 -2.2916899 -1.2991486 -1.4418712 -4.5572414
64 -1.7746334 -1.6453755 -2.4456766 -1.3238852 -1.2692401 -5.598819
65 -1.7689426 -1.4206867 -2.6151648 -1.6664519 -1.2967974 -2.9476867
66 -1.7714881 -1.4530458 -2.5999627 -1.6806202 -1.2676682 -2.9180052
67 -1.7208714 -1.9207261 -2.1182766 -1.5280313 -1.0995297 -5.4351645
68 -1.9818621 -1.4364889 -2.7375011 -1.6265764 -1.1646504 -2.9747257
69 -2.0507526 -1.5050449 -2.6399393 -1.6323719 -1.0265751 -3.7176085
70 -3.144659 -0.73646986 -3.1537871 -2.736235 -1.0023363 -5.628957
71 -10.369938 -0.062263012 -8.149336 -8.726959 -2.815394 -14.153402
72 -3.3175611 -0.3841424 -2.8876917 -2.461742 -1.9661529 -6.3543024
73 -3.0601327 -0.5287292 -3.3073392 -1.4878314 -2.304657 -6.504488
74 -2.3334322 -1.6905293 -2.4779992 -1.9807773 -0.70615315 -5.7434516
75 -3.241541 -1.0180081 -3.1385417 -3.127798 -0.6838312 -4.8610253
76 -2.067347 -1.3510013 -2.739625 -1.6782695 -1.1526612 -3.0488892
77 -1.9928108 -1.5367538 -2.5326555 -1.6790344 -0.99235344 -4.4307966
78 -8.168407 -0.059060097 -6.3408704 -5.4764967 -2.973726 -11.86846
79 -2.9792135 -2.28318 -4.434556 -0.22006798 -3.491668 -6.018592
80 -1.6586243 -1.4674362 -2.5334115 -1.6832912 -1.3169723 -3.0793536
81 -2.1035466 -1.4906211 -2.6415234 -1.3666096 -1.1450007 -4.7917466
82 -1.941272 -1.965622 -2.4556475 -1.193227 -1.1231815 -6.1572533
83 -1.882246 -1.457731 -2.6682963 -1.4830909 -1.3282487 -2.9235578
84 -1.5590858 -2.1574903 -2.2130303 -0.9169055 -1.8215516 -5.757401
85 -2.0362263 -1.3262377 -2.689166 -1.8293488 -1.0811313 -3.3148792
86 -1.9240347 -1.670266 -2.5821218 -1.509074 -1.0669467 -3.6888433
87 -1.7523446 -1.6349597 -2.452851 -1.5006756 -1.1813197 -4.149525
88 -1.9481952 -1.9709381 -2.6487231 -0.730538 -1.8381991 -5.0134664
89 -1.6038954 -1.9422293 -2.319927 -1.1747198 -1.4625069 -4.0945425
90 -1.8472296 -2.0528858 -2.0383599 -1.9441093 -0.82533264 -5.984795
91 -1.6260676 -1.7397853 -2.4951532 -1.0788798 -1.6537173 -4.2727766
92 -1.6927719 -1.619006 -2.145319 -1.6215918 -1.2136405 -5.0884814
93 -1.8057128 -1.667841 -2.4125896 -1.6523815 -1.0714304 -3.7595408
94 -1.4007548 -1.3744026 -2.1267705 -1.7396967 -1.6548259 -4.221427
95 -2.0855894 -1.4621949 -2.516464 -1.9679667 -0.8693044 -5.4466314
96 -1.2882235 -1.98088 -2.2537518 -1.3753874 -1.497567 -5.3242216
97 -1.5338112 -1.7621849 -2.4060636 -1.4381225 -1.2860279 -4.7433066
98 -4.400153 -0.11613011 -4.218338 -4.78167 -2.6070175 -7.5887384
99 -2.1744025 -1.4006624 -2.5080357 -1.9843243 -0.8842671 -4.8317947
100 -1.9839967 -1.4699532 -2.157751 -1.3523283 -1.3548834 -7.9693537
101 -1.6775397 -1.7025683 -2.5347536 -1.2706817 -1.4196823 -3.5322304
102 -1.8669925 -1.5193083 -2.5536094 -1.5807984 -1.1810199 -3.3250039
103 -1.8098683 -1.7258055 -2.417445 -1.5821878 -1.0660996 -3.949126
104 -1.6790326 -1.6183819 -2.377209 -1.377659 -1.402674 -3.716845
105 -2.0109496 -1.3534117 -2.7816715 -1.7213506 -1.1325979 -3.1049495
106 -2.0166676 -1.3533018 -2.7481785 -1.6643245 -1.1728847 -3.086093
107 -1.8801522 -1.6803527 -2.5811841 -1.4868281 -1.0948617 -3.698282
108 -1.5368445 -1.8884361 -2.3527112 -1.4122784 -1.3048539 -3.7413378
109 -1.6560688 -1.6286428 -2.4602983 -1.4418263 -1.3555787 -3.4047985
110 -2.1765137 -1.3152812 -2.8178556 -1.6835798 -1.1162021 -3.0966244
111 -1.5675683 -1.9070653 -2.321109 -1.5293038 -1.2266369 -3.3580117
112 -1.6219659 -1.5286953 -2.5233598 -1.6201608 -1.3477947 -3.0406818
113 -1.9580097 -1.3283544 -2.6782162 -1.7801485 -1.1334016 -3.3606331
114 -1.9747586 -1.485923 -2.6447568 -1.6301665 -1.0791041 -3.5722542
115 -1.6885862 -1.4867821 -2.5546665 -1.4912665 -1.3910723 -3.2832432
116 -1.7822082 -1.6350545 -2.5688 -1.4207759 -1.2866446 -3.159616
117 -2.0605907 -1.4420269 -2.8100245 -1.7341024 -1.0401381 -3.0789967
118 -1.8095773 -1.6782418 -2.3727837 -1.5809197 -1.1075034 -3.9028068
119 -1.867758 -1.617139 -2.643053 -1.5425196 -1.125679 -3.2795
120 -2.0912936 -1.4024605 -2.8219984 -1.6648332 -1.0913385 -3.0789864
121 -1.7485187 -1.4529953 -2.7219124 -1.560122 -1.3466887 -2.8799
122 -1.7073069 -1.6989603 -2.5585446 -1.350217 -1.3514372 -3.2113123
123 -1.6310649 -1.6600301 -2.4841466 -1.4578502 -1.3270956 -3.4183502
124 -1.930749 -1.6247976 -2.5526536 -1.4795381 -1.1173477 -3.6791234
125 -1.9754966 -1.5926994 -2.5745306 -1.4000465 -1.1706502 -3.6892192
